, Subscribers,Avg. likes,Avg Views,Avg Commentss,ViewsCategory
365,16600000.0,204300.0,2246412.5,11400.0,1
366,16600000.0,6200.0,78600.0,534.0,1
367,16600000.0,34600.0,571900.0,9100.0,1
368,16600000.0,293500.0,2246412.5,76700.0,1
369,16600000.0,180.0,14100.0,9.0,0
370,16500000.0,15600.0,390300.0,541.0,1
371,16500000.0,577.0,21000.0,21.0,0
372,16500000.0,47500.0,2000000.0,2100.0,1
373,16500000.0,335.0,39800.0,8.0,0
374,16400000.0,27500.0,2246412.5,0.0,1
375,16400000.0,1300.0,225500.0,0.0,1
376,16400000.0,1300.0,24700.0,64.0,0
377,16400000.0,37400.0,412000.0,537.0,1
378,16400000.0,4200.0,1300000.0,0.0,1
379,16400000.0,412200.0,2246412.5,10600.0,1
380,16400000.0,5600.0,131800.0,157.0,1
381,16300000.0,119000.0,1800000.0,409.0,1
382,16300000.0,1900.0,171400.0,56.0,1
383,16300000.0,41400.0,570500.0,1500.0,1
384,16200000.0,123900.0,2246412.5,5900.0,1
385,16200000.0,0.0,0.0,0.0,0
386,16200000.0,202700.0,2246412.5,10600.0,1
387,16200000.0,28600.0,2246412.5,2100.0,1
388,16200000.0,1800.0,400700.0,0.0,1
389,16100000.0,25900.0,306100.0,173.0,1
390,16100000.0,878.0,74900.0,35.0,1
391,16100000.0,5600.0,414400.0,1300.0,1
392,16100000.0,103600.0,1100000.0,4700.0,1
393,16000000.0,11500.0,314700.0,450.0,1
394,16000000.0,127000.0,2246412.5,4300.0,1
395,16000000.0,1000.0,59200.0,40.0,1
396,16000000.0,140700.0,1700000.0,708.0,1
397,16000000.0,252500.0,2246412.5,1500.0,1
398,16000000.0,50000.0,1200000.0,5500.0,1
399,16000000.0,71300.0,2246412.5,4200.0,1
400,16000000.0,272.0,10300.0,28.0,0
401,16000000.0,286400.0,2246412.5,11900.0,1
402,16000000.0,1500.0,317500.0,0.0,1
403,15900000.0,2500.0,440700.0,0.0,1
404,15900000.0,2100.0,454300.0,0.0,1
405,15900000.0,93.0,6400.0,7.0,0
406,15800000.0,196800.0,2246412.5,11600.0,1
407,15800000.0,52300.0,1200000.0,2500.0,1
408,15800000.0,1600.0,18500.0,43.0,0
409,15800000.0,1600.0,43400.0,199.0,0
410,15800000.0,110.0,5800.0,10.0,0
411,15800000.0,10100.0,36900.0,37.0,0
412,15800000.0,659.0,41900.0,71.0,0
413,15800000.0,1500.0,50500.0,81.0,1
414,15600000.0,4900.0,90400.0,78.0,1
415,15600000.0,104.0,8900.0,4.0,0
416,15600000.0,0.0,311000.0,995.0,1
417,15500000.0,2100.0,33300.0,98.0,0
418,15500000.0,1100.0,32900.0,16.0,0
419,15400000.0,353.0,20000.0,22.0,0
420,15400000.0,9300.0,157000.0,125.0,1
421,15400000.0,1300000.0,2246412.5,4800.0,1
422,15400000.0,0.0,524800.0,0.0,1
423,15400000.0,85.0,12900.0,2.0,0
424,15400000.0,40600.0,349200.0,1500.0,1
425,15300000.0,79900.0,801500.0,2200.0,1
426,15300000.0,404600.0,2246412.5,40200.0,1
427,15300000.0,0.0,71100.0,0.0,1
428,15200000.0,147.0,17000.0,6.0,0
