No,Hari/Tanggal,Beli Langsung Siang,Beli Langsung Malam,Total Beli Langsung,Total Beli Antar,Total Keseluruhan,Merek AQUA, Merek DC,Total Penjualan, Total Pengeluaran,Hasil Pendapatan
79,13/04/2024,35,41,76,376,452,225,227,Rp2.905.000,Rp428.000,Rp2.477.000
80,14/04/2024,41,22,63,232,295,156,139,Rp1.746.000,Rp222.000,Rp1.524.000
81,15/04/2024,38,27,65,325,390,192,198,Rp2.315.000,Rp504.000,Rp1.811.000
82,16/04/2024,26,27,53,283,336,175,161,Rp1.976.000,Rp50.000,Rp1.926.000
83,17/04/2024,28,30,58,210,268,150,118,Rp1.623.000,Rp640.000,Rp983.000
84,18/04/2024,38,32,70,220,290,140,150,Rp1.677.000,Rp389.000,Rp1.288.000
85,19/04/2024,58,28,86,297,383,190,193,Rp2.201.000,Rp100.000,Rp2.101.000
86,20/04/2024,32,40,72,347,419,212,207,Rp2.701.000,Rp130.000,Rp2.571.000
87,21/04/2024,35,42,77,281,358,147,211,Rp2.275.000,Rp307.000,Rp1.968.000
88,22/04/2024,25,12,37,171,208,102,106,Rp1.077.000,Rp125.000,Rp952.000
89,23/04/2024,32,24,56,242,298,185,113,Rp1.684.000,Rp320.000,Rp1.364.000
90,24/04/2024,30,22,52,281,333,180,153,Rp1.876.000,Rp318.000,Rp1.558.000
91,25/04/2024,33,31,64,197,261,124,137,Rp1.530.000,Rp515.000,Rp1.015.000
92,26/04/2024,30,21,51,341,392,198,194,Rp2.162.000,Rp552.000,Rp1.610.000
93,27/04/2024,37,35,72,284,356,170,186,Rp1.967.000,Rp161.000,Rp1.806.000
94,28/04/2024,72,58,130,298,428,215,213,Rp2.399.000,Rp1.090.000,Rp1.309.000
95,29/04/2024,30,18,48,331,379,250,129,Rp2.976.000,Rp80.000,Rp2.896.000
96,30/04/2024,20,19,39,220,259,139,120,Rp1.525.000,Rp451.000,Rp1.074.000
97,01/05/2024,21,20,41,278,319,170,149,Rp2.098.000,Rp450.000,Rp1.648.000
98,02/05/2024,28,32,60,160,220,125,95,Rp1.357.000,Rp69.000,Rp1.288.000
